# 资料
史济怀			链接：https://pan.baidu.com/s/1OQ5OGjiAwSVhwX5rfZu4iA密码：16jg
Adobe			链接：https://pan.baidu.com/s/1pqBGnQQIg1mIr0DBJN-Fpg密码：42xj
MATLAB			https://pan.baidu.com/s/12iD1kz3576GEV4dsFktYGQ
X8			https://pan.baidu.com/s/1z_lWESmBA0DvyOs_tczmWg
AutoCAD			https://pan.baidu.com/s/1xUj0bRCIyuxP_KRQmzdcow
韩语			https://pan.baidu.com/s/1SI5GHsdxgVhPOo4OP0VHWg
日语			https://pan.baidu.com/s/1pEaKi3cjOPAcoKtcTvkRqQ
法语			https://pan.baidu.com/s/1caC_9FOhDvxbxqTb6GsrnQ
国赛			https://pan.baidu.com/s/11S7gdxC_mtvs5yUhGUen6w
德语			https://pan.baidu.com/s/1cuZd0t6cRL_GBEMn7kSAMw
PPT			https://pan.baidu.com/s/114LBvMR0WXiYZ3y_3BuhAQ
Kindle			https://pan.baidu.com/s/16m2574gGAFq9zb_QC90zjA密码:6289
四级			四级资料：链接:https://pan.baidu.com/s/1YowSZmbyxktJLiuDialC_w密码:gq7d
六级			六级资料：链接:https://pan.baidu.com/s/11xfAYt_36QTJfy45gkWtXw密码:87mg
高数/物理			高数、物理链接:https://pan.baidu.com/s/1slDQKJ7密码:mk2u
毕业论文			毕业论文链接:https://pan.baidu.com/s/1pLzHHJt密码:3kya
2018/专四/专八			2018年英语专四专八考试资料链接:https://pan.baidu.com/s/1c79jkE密码:457p
2018/公务员			2018年公务员考试资料链接:https://pan.baidu.com/s/1kV7r5FD密码:6wa8
教师资格证			教师资格证考试培训课程链接:https://pan.baidu.com/s/1pKXr691密码:ffda
普通话			普通话考试培训课程链接:https://pan.baidu.com/s/1c2g1zdY密码:nek2
雅思			雅思考试培训课程资料包01：链接:https://pan.baidu.com/s/1c1N44ww密码:53gx资料包02：链接:https://pan.baidu.com/s/1o8OMsp8密码:xyi9资料包03：链接:https://pan.baidu.com/s/1slxBTGL密码:5pwu资料包04：链接:https://pan.baidu.com/s/1skASMS1密码:2yzn
托福			托福考试培训课程链接:https://pan.baidu.com/s/1kVkWQUj密码:c4kc
会计			会计考试培训课程2018初级会计礼包链接:https://pan.baidu.com/s/1i5D1inV密码:h4jg2017-2018中级会计链接:https://pan.baidu.com/s/1miSUfyS密码:cifn2017年会计资料包链接:https://pan.baidu.com/s/1kVBvqdx密码:iust
导游证			导游证考试培训课程链接:https://pan.baidu.com/s/1miejhRM密码:t5x6
翻译专业			翻译专业考试培训课程链接:https://pan.baidu.com/s/1c1TAbHQ密码:gs1d
税务师			税务师考试培训课程链接:https://pan.baidu.com/s/1pL0xGcb密码:u4su
护士资格			护士资格考试培训课程链接:https://pan.baidu.com/s/1c13RDIC密码:yq99
银行			银行从业考试培训课程链接:https://pan.baidu.com/s/1dEP4xeL密码:tzke
人力资源			人力资源考试培训课程链接:https://pan.baidu.com/s/1cM2StK密码:b4f9
执业医师/药师			执业医师&药师考试培训课程链接:https://pan.baidu.com/s/1nxf19zz密码:ydpw
新生			大学新生学习课程链接:https://pan.baidu.com/s/1pLtCeGb密码:h23w
品牌/运营			个人品牌运营之路链接:https://pan.baidu.com/s/1gfjdiYv密码:wkxg
效率			提升人生效率手册1-10节：链接:https://pan.baidu.com/s/1o7EwG46密码:5uah11-20节：链接:https://pan.baidu.com/s/1pL5N1u7密码:xxw521-30节：链接:https://pan.baidu.com/s/1dF30d4P密码:b38v40-50节：链接:https://pan.baidu.com/s/1hrSMiHY密码:mixr
逆袭			人生逆袭手册链接:https://pan.baidu.com/s/1kV3THt1密码:fass
时间管理			20节高效时间管理课程1-5课：链接:https://pan.baidu.com/s/1dFAR1SH密码:tbxj6-10课：链接:https://pan.baidu.com/s/1hr9PiS0密码:map611-15课：链接:https://pan.baidu.com/s/1nvOixrN密码:5uui16-20课：链接:https://pan.baidu.com/s/1c2EruCC密码:c4qe
思维导图			思维导图从入门到精通课程链接:https://pan.baidu.com/s/1kV9Zor1密码:heya
拖延患者			拖延患者的解决之道链接:https://pan.baidu.com/s/1c2Ivfry密码:qpfn
学习法			学习法训练营课程01：链接:https://pan.baidu.com/s/1miIKHBi密码:kgkm02：链接:https://pan.baidu.com/s/1gfgvpXD密码:xhsm03：链接:https://pan.baidu.com/s/1i5pK8dB密码:v7i504:链接:https://pan.baidu.com/s/1pL1dHRP密码:x9yg05：链接:https://pan.baidu.com/s/1o8DWQN4密码:fdjc06：链接:https://pan.baidu.com/s/1nvkmME1密码:vwrg
十秒钟/说英语			十秒钟学会说英语链接:https://pan.baidu.com/s/1eSnMpk2密码:rieu
标准/美语发音			标准美语发音教程链接:https://pan.baidu.com/s/1NJ0uqBdEL_pGIpLZONa7zw密码:m9w4
21天/TED/英语			21天TED学英语链接:https://pan.baidu.com/s/1nuTrNi5密码:az5m
国际音标/美式音标/速成			国际音标和美式音标速成链接:https://pan.baidu.com/s/1i5pK8BV密码:u5cs
看电影学英语			看电影学英语链接:https://pan.baidu.com/s/1Zvpe83otNyT3dUz8ADS3jg密码:v7x3
《老友记》/地道美语			听《老友记》学地道美语链接:https://pan.baidu.com/s/1x8FkdOWi0P7qNoERKs6iyA密码:2r32
韩语			从零开始学习韩语链接:https://pan.baidu.com/s/1i44xyYx密码:cyj9
法语			从零开始学习法语链接:https://pan.baidu.com/s/1o78Xcqm密码:kpm3
日语			从零开始学习日语链接:https://pan.baidu.com/s/1Ss-hOdSmTpTIw28u-JESzQ密码:bv1g
